Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             false                                   20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             false                                   20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 180 *********** Relatório Gerado em : 04/01/2024 12:17:26.316 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 12:47:26.314 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 13:17:26.316 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 13:47:26.315 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 14:17:26.315 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 14:47:26.316 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 15:17:26.315 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             false                                   20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 200 *********** Relatório Gerado em : 04/01/2024 15:47:26.315 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         false                                   60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             false                                   20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             false                                   20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             false                                   20                                 

*********** false = 100 *********** Relatório Gerado em : 04/01/2024 16:17:26.319 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 16:47:26.315 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 17:17:26.315 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 17:47:26.319 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 18:17:26.318 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 18:47:26.317 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 19:17:26.317 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 19:47:26.318 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             false                                   20                                 

*********** true = 200 *********** Relatório Gerado em : 04/01/2024 20:17:26.318 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 20:47:26.315 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

13             coap://[2001:660:5307:3100::a879]:5683/sensors/magne             true                                    20                                 

*********** true = 220 *********** Relatório Gerado em : 04/01/2024 21:17:26.316 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e0::9083]:5683/sensors/gyros              true                                    10                                 

1              coap://[2a07:2e40:fffe:e0::a187]:5683/sensors/gyros              true                                    10                                 

2              coap://[2a07:2e40:fffe:e0::9488]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e0::b585]:5683/sensors/gyros              true                                    10                                 

4              coap://[2a07:2e40:fffe:e0::9084]:5683/sensors/gyros              true                                    10                                 

5              coap://[2a07:2e40:fffe:e0::a185]:5683/sensors/gyros              true                                    10                                 

6              coap://[2a07:2e40:fffe:e0::9387]:5683/sensors/gyros              true                                    10                                 

7              coap://[2a07:2e40:fffe:e0::9588]:5683/sensors/gyros              true                                    10                                 

8              coap://[2a07:2e40:fffe:e0::9385]:5683/sensors/gyros              true                                    10                                 

9              coap://[2a07:2e40:fffe:e0::a385]:5683/sensors/gyros              true                                    10                                 

10             2001:660:5307:3100::9181                                         true                                    60                                 

11             coap://[2001:660:5307:3100::9382]:5683/sensors/magne             true                                    20                                 

12             coap://[2001:660:5307:3100::9172]:5683/sensors/magne             true                                    20                                 

